date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-06-09,85.6193,86.0497,85.3998,85.6784,6404983,6404983,-0.067517,-0.079,85.7228,"Jun 9, 14",0.149066232137708
2014-06-10,85.6446,85.8556,85.2395,85.6277,7917532,7917532,-0.050638,-0.059,85.4744,"Jun 10, 14",0.1483862747859207
2014-06-11,85.3998,86.362,85.2395,86.0413,10270318,10270318,0.413541,0.483,85.97,"Jun 11, 14",0.15393322470109372
2014-06-12,86.4717,86.881,85.7206,85.7965,11421250,11421250,-0.244749,-0.284,86.3425,"Jun 12, 14",0.15065011701435674
2014-06-13,86.0244,86.6363,85.7712,86.632,8241548,8241548,0.835513,0.974,86.3499,"Jun 13, 14",0.16185533136185934
2014-06-16,86.5645,87.1384,86.2269,86.8599,8977642,8977642,0.22787,0.263,86.8524,"Jun 16, 14",0.16491178659800024
2014-06-17,86.5729,86.5814,85.6193,86.4379,9355388,9355388,-0.421977,-0.486,86.3767,"Jun 17, 14",0.15925218102690986
2014-06-18,86.5645,86.8852,86.1341,86.6995,9575877,9575877,0.261626,0.303,86.5472,"Jun 18, 14",0.16276060002548157
2014-06-19,86.5983,86.7924,85.8134,86.6151,11107691,11107691,-0.084396,-0.097,86.2621,"Jun 19, 14",0.16162867891126345
2014-06-20,87.1637,87.822,86.8768,87.6279,17681113,17681113,1.0127,1.169,87.7796,"Jun 20, 14",0.17521173228188042
2014-06-23,87.8642,88.2862,87.6701,88.0921,8553670,8553670,0.464177,0.53,87.9717,"Jun 23, 14",0.18143729841007994
2014-06-24,87.9233,88.168,86.4801,86.6995,9708408,9708408,-1.3925,-1.581,79.2966,"Jun 24, 14",0.16276060002548157
2014-06-25,86.3704,86.6067,85.6868,86.2016,10716273,10716273,-0.497933,-0.574,86.1017,"Jun 25, 14",0.15608307013485143
2014-06-26,86.0328,86.4042,85.1129,86.1088,8424551,8424551,-0.092837,-0.108,85.9274,"Jun 26, 14",0.15483849336471595
2014-06-27,85.8049,85.9062,84.9526,85.4167,15149918,15149918,-0.692041,-0.804,88.974,"Jun 27, 14",0.14555647200037553
2014-06-30,85.4167,85.4674,84.8344,84.9694,9536536,9536536,-0.447296,-0.524,85.4439,"Jun 30, 14",0.1395575583227717
2014-07-01,85.3661,85.7374,85.0623,85.5433,8404213,8404213,0.573889,0.675,85.4566,"Jul 1, 14",0.1472543536717026
2014-07-02,85.3661,85.7796,85.2733,85.7206,6954442,6954442,0.177231,0.207,85.6136,"Jul 2, 14",0.14963219269481715
2014-07-03,86.0413,87.1553,85.8134,86.5814,6922616,6922616,0.860833,1.004,86.382,"Jul 3, 14",0.16117671514883283
2014-07-07,86.362,86.632,86.1003,86.632,7980994,7980994,0.050635,0.058,86.4207,"Jul 7, 14",0.16185533136185934
2014-07-08,86.362,87.1215,86.2269,86.7839,9615023,9615023,0.151915,0.175,86.8825,"Jul 8, 14",0.16389252113969968
2014-07-09,86.8936,87.5097,86.7671,87.3916,7659029,7659029,0.607648,0.7,87.2871,"Jul 9, 14",0.172042621389822
2014-07-10,86.8261,86.9865,86.1172,86.5645,8533731,8533731,-0.827076,-0.946,86.5268,"Jul 10, 14",0.16095006269823695
2014-07-11,86.421,86.5054,85.5096,85.864,7689643,7689643,-0.700483,-0.809,85.8092,"Jul 11, 14",0.15155538567797916
2014-07-14,86.2269,86.9949,86.2185,86.6573,8253348,8253348,0.793318,0.924,86.6942,"Jul 14, 14",0.16219463946837262
2014-07-15,86.5307,86.5898,85.864,86.4126,8760545,8760545,-0.244747,-0.282,86.3153,"Jul 15, 14",0.1589128729203966
2014-07-16,86.5561,87.5941,86.5392,87.5773,8879502,8879502,1.1647,1.348,87.3581,"Jul 16, 14",0.1745331160688539
2014-07-17,87.2481,87.6743,86.3282,86.3451,8145741,8145741,-1.2322,-1.407,86.8866,"Jul 17, 14",0.15800760425677438
2014-07-18,86.6658,86.8936,85.9653,86.6995,8208309,8208309,0.354462,0.411,86.5525,"Jul 18, 14",0.16276060002548157
2014-07-21,86.3873,87.0878,86.1341,86.9949,6632386,6632386,0.295384,0.341,86.7377,"Jul 21, 14",0.16672232392524486
2014-07-22,87.4675,87.9317,87.3494,87.3831,7426442,7426442,0.388221,0.446,87.5509,"Jul 22, 14",0.17192862459514366
2014-07-23,87.4675,88.1511,87.3747,87.9824,7017078,7017078,0.599208,0.686,87.8813,"Jul 23, 14",0.17996606918934857
2014-07-24,88.1258,88.379,87.7292,88.0077,7943024,7943024,0.02532,0.029,88.1276,"Jul 24, 14",0.18030537729586185
2014-07-25,87.7123,87.7629,86.8936,87.0793,7784729,7784729,-0.928354,-1.055,87.1791,"Jul 25, 14",0.16785424503946297
2014-07-28,87.5435,87.898,86.5645,87.1384,11072138,11072138,0.059079,0.068,87.0514,"Jul 28, 14",0.16864685804716784
2014-07-29,87.9486,88.4128,87.3663,87.3916,8055421,8055421,0.253186,0.291,87.7924,"Jul 29, 14",0.172042621389822
2014-07-30,87.5435,87.898,86.5645,87.1384,11072188,11072188,-0.253186,-0.29,87.0514,"Jul 30, 14",0.16864685804716784
2014-07-31,86.0666,86.0666,83.4925,83.5009,18297904,18297904,-3.6374,-4.174,84.4995,"Jul 31, 14",0.11986293561863373
2014-08-01,83.2309,84.0158,82.8595,83.3828,14915613,14915613,-0.118154,-0.142,83.4182,"Aug 1, 14",0.11827905074198498
2014-08-04,83.3322,84.7584,82.9693,84.5053,12152078,12152078,1.1225,1.346,83.9479,"Aug 4, 14",0.13333333333333333
2014-08-05,83.9567,84.0073,82.522,82.8764,13071813,13071813,-1.6288,-1.927,83.2387,"Aug 5, 14",0.1114875240566765
2014-08-06,82.8764,84.1002,82.8764,83.5347,9916916,9916916,0.658283,0.794,83.6095,"Aug 6, 14",0.12031624051982533
2014-08-07,84.2014,84.2605,82.3954,82.9355,10017398,10017398,-0.599205,-0.717,83.1176,"Aug 7, 14",0.11228013706438136
2014-08-08,83.3912,84.2183,82.9777,84.1761,11206941,11206941,1.2406,1.496,83.7038,"Aug 8, 14",0.12891830453237843
2014-08-11,84.3716,84.4906,83.7384,83.9042,8595196,8595196,-0.271948,-0.323,84.0209,"Aug 11, 14",0.12527174824143178
2014-08-12,83.4623,83.8702,83.1308,83.7002,9585001,9585001,-0.203958,-0.243,83.5065,"Aug 12, 14",0.12253582516915099
2014-08-13,83.9807,84.3971,83.6917,84.2101,7645775,7645775,0.5099,0.609,84.1142,"Aug 13, 14",0.12937429171109177
2014-08-14,84.2186,84.3716,83.7937,84.2101,6547528,6547528,0,0,84.0639,"Aug 14, 14",0.12937429171109177
2014-08-15,84.3376,84.499,83.4028,84.1591,9234925,9234925,-0.05099,-0.061,84.0525,"Aug 15, 14",0.12869031094302158
2014-08-18,84.3716,84.584,84.2144,84.5755,7143392,7143392,0.416418,0.495,84.4288,"Aug 18, 14",0.1342748127435005
2014-08-19,84.5585,84.941,84.499,84.55,8888327,8888327,-0.025493,-0.03,84.6545,"Aug 19, 14",0.1339328223594653
